"Source:","C:/Users/phase/Source/CrowdSwitch/HW/HW.sch"
"Date:","1/5/2018 12:52:47 AM"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","128"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Decouple","Description","DigiKey","Digikey","Field4","Field5","Field6","Field7","Field8","MFG","Part","Price10","Price1k","TODO"
"","","C1","4.7uF","device:C","Capacitors_SMD:C_0805","psearch.en.murata.com/capacitor/product/GRM21BR61C475KA88%23.pdf","","CHIP CAPACITOR, CERAMIC, 4.7UF, 16V, 10%, X5R, 0805","https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR61C475KA88L/490-3338-1-ND/702879","","","","","","","Murata","GRM21BR61C475KA88L","$0.14","$0.038",""
"","","C2","22uF","device:C","Capacitors_SMD:C_0805","psearch.en.murata.com/capacitor/product/GRM21BR60J226ME39%23.pdf","","CHIP CAPACITOR, CERAMIC, 22UF, 6.3V, 20%, X5R, 0805","https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR60J226ME39L/490-1719-1-ND/587424","","","","","","","Murata","GRM21BR60J226ME39L","$0.19","$0.05819",""
"","","C3","4.7uF","device:C","Capacitors_SMD:C_0805","psearch.en.murata.com/capacitor/product/GRM21BR61C475KA88%23.pdf","","CHIP CAPACITOR, CERAMIC, 4.7UF, 16V, 10%, X5R, 0805","https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR61C475KA88L/490-3338-1-ND/702879","","","","","","","Murata","GRM21BR61C475KA88L","$0.14","$0.038",""
"","","C4","22uF","device:C","Capacitors_SMD:C_0805","psearch.en.murata.com/capacitor/product/GRM21BR60J226ME39%23.pdf","","CHIP CAPACITOR, CERAMIC, 22UF, 6.3V, 20%, X5R, 0805","https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR60J226ME39L/490-1719-1-ND/587424","","","","","","","Murata","GRM21BR60J226ME39L","$0.19","$0.05819",""
"","","C5","100nF","device:C_Small","Capacitors_SMD:C_0201","","1v0","CHIP CAPACITOR, CERAMIC, 100NF, 6.3V, 10%, X5R, 0201","","","","","","","","Murata","GRM033R60J104KE19D","$0.033","$0.00835",""
"","","C6","100nF","device:C_Small","Capacitors_SMD:C_0201","","1v0","CHIP CAPACITOR, CERAMIC, 100NF, 6.3V, 10%, X5R, 0201","","","","","","","","Murata","GRM033R60J104KE19D","$0.033","$0.00835",""
"","","C7","2.2uF","device:C_Small","Capacitors_SMD:C_0603","","","CHIP CAPACITOR, CERAMIC, 2.2UF, 10V, 10%, X5R, 0603","","","","","","","","Murata","GRM188R61A225KE34D","$0.19","$0.05819",""
"","","C8","2.2uF","device:C_Small","Capacitors_SMD:C_0603","","","CHIP CAPACITOR, CERAMIC, 2.2UF, 10V, 10%, X5R, 0603","","","","","","","","Murata","GRM188R61A225KE34D","$0.19","$0.05819",""
"","","C50","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C51","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C52","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C53","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C54","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C55","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C56","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C57","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C58","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C59","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C62","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
"","","C63","100nF","device:C_Small","Capacitors_SMD:C_0402","","3v3","CHIP CAPACITOR, CERAMIC, 100NF, 16V, 10%, X7R, 0402","","","","","","","","Murata","GRM155R71C104KA88J ","$0.014","$0.00348",""
